sound,mfcc 1,mfcc 2,mfcc 3,mfcc 4,mfcc 5,mfcc 6,mfcc 7,mfcc 8,mfcc 9,mfcc 10,mfcc 11,mfcc 12,chroma_stft,spec_cent,spec_bw,rolloff,zcr
2,-2.7726,-2.5113,-3.6217,-6.8132,-2.2096,-5.1954,-4.8343,-3.5062,-1.2301,-2.4512,-2.7083,-2.1928,0.3551,4658.08,6404.44,14825.6,0.078
2,-2.7726,-1.2505,-0.6074,-1.4066,-1.4377,-1.8823,-2.263,-3.1341,-2.5161,-2.3008,-2.3809,-2.3252,0.3327,4579.81,6564.97,14841.8,0.0581
2,-2.7726,0.3768,0.3115,-3.2631,-2.7058,-3.1116,-2.6301,-2.8049,-2.8941,-2.7372,0.3569,1.4861,0.3586,5785.49,7221.97,15824.2,0.1252
0,-2.7726,-4.2508,2.2467,-3.3964,-2.0258,-0.3165,-1.4815,-2.5793,-1.9964,-0.7192,0.9296,-0.3736,0.4394,10335.0,8671.31,20179.3,0.4288
1,-3.1197,-0.9802,-4.5692,-6.6443,-8.0991,-7.656,-10.5072,-10.1961,-10.2245,-9.3203,-8.1646,-5.0604,0.3429,3741.17,6116.13,7190.74,0.0428
1,-8.367,-7.0211,-5.39,-6.4056,-9.4711,-9.7707,-10.2099,-9.2852,-9.5767,-8.3119,-6.2975,-3.9338,0.3208,3496.28,6133.89,5743.98,0.031
1,-2.7726,-3.7742,-3.5445,-5.9786,-4.5561,-10.3471,-6.1925,-7.835,-3.9277,0.7926,-2.8034,0.8048,0.399,5285.13,6910.54,15015.8,0.1284
3,-1.9891,-8.5588,-5.3826,-3.9106,-2.5366,-6.541,-4.7104,-6.5427,-6.4014,-7.4287,-6.6253,-4.7987,0.2998,7239.62,8384.0,20673.2,0.2127
3,-3.2827,-3.2006,-4.8867,-9.341,-4.8858,-9.1683,-7.1573,-3.5394,-8.1524,-5.3078,-3.4875,-9.2048,0.1925,6429.53,8222.13,21093.1,0.1592
3,-2.7577,-6.7481,-3.7642,-6.186,-6.7291,-4.5833,-4.8785,-5.5911,-4.1314,-1.7206,-2.7442,0.925,0.3851,6393.1,8103.85,20332.7,0.242
